gpi,time,sm
2369271,2010-06-06 09:35:24.374999,44.51
2369271,2010-06-07 20:39:48.750001,35.85
2369271,2010-06-08 08:53:58.123990,23.84
2369271,2010-06-08 20:18:59.999020,16.869999
2369271,2010-06-10 09:52:31.874998,40.53
2369275,2010-06-01 09:38:56.249005,36.07
2369275,2010-06-01 19:23:58.123990,9.2699995
2369275,2010-06-02 20:43:22.499998,16.8
2369275,2010-06-03 20:22:33.749982,24.72
2369275,2010-06-04 08:36:43.125017,20.939999
2369275,2010-06-05 09:56:01.874020,34.26
2369275,2010-06-06 09:35:24.374999,37.75
2369275,2010-06-07 20:39:48.750001,33.969997
2369275,2010-06-08 20:18:59.999020,18.9
2369275,2010-06-10 09:52:30.000013,40.45
2369279,2010-06-01 09:38:54.374986,29.609999
2369279,2010-06-01 19:23:56.249005,1.38
2369279,2010-06-02 20:43:22.499998,11.58
2369279,2010-06-03 20:22:31.874998,27.97
2369279,2010-06-04 08:36:43.125017,22.199999
2369279,2010-06-05 09:56:01.874020,35.91
2369279,2010-06-06 09:35:24.374999,30.32
2369279,2010-06-07 20:39:48.750001,44.35
2369279,2010-06-08 20:18:59.999020,23.59
2369279,2010-06-10 09:52:30.000013,40.629997
2369283,2010-06-01 09:38:54.374986,20.55
2369283,2010-06-01 19:23:56.249005,0.0
2369283,2010-06-02 20:43:22.499998,7.2
2369283,2010-06-03 20:22:31.874998,37.41
2369283,2010-06-04 08:36:41.248986,27.939999
2369283,2010-06-05 09:56:00.000000,37.53
2369283,2010-06-06 09:35:22.500014,33.84
2369283,2010-06-07 20:39:48.750001,61.609997
2369283,2010-06-08 20:18:59.999020,29.029999
2369283,2010-06-10 09:52:30.000013,42.64
2369287,2010-06-01 09:38:54.374986,18.17
2369287,2010-06-01 19:23:58.123990,0.0
2369287,2010-06-02 20:43:20.625014,15.719999
2369287,2010-06-03 20:22:31.874998,48.03
2369287,2010-06-04 08:36:41.248986,31.74
2369287,2010-06-05 09:56:00.000000,41.89
2369287,2010-06-06 09:35:22.500014,38.129997
2369287,2010-06-07 20:39:48.750001,76.06
2369287,2010-06-08 20:18:58.125000,34.27
2369287,2010-06-10 09:52:28.124988,44.2
2369291,2010-06-01 09:38:52.500001,12.469999
2369291,2010-06-03 20:22:31.874998,56.629997
2369291,2010-06-04 08:36:41.248986,28.4
2369291,2010-06-05 09:55:58.125016,34.78
2369291,2010-06-06 09:35:22.500014,33.62
2369291,2010-06-07 20:39:48.750001,76.43
2369291,2010-06-08 20:18:58.125000,31.58
2369291,2010-06-10 09:52:28.124988,34.51
2369295,2010-06-01 09:38:52.500001,14.17
2369295,2010-06-03 20:22:31.874998,63.539997
2369295,2010-06-04 08:36:41.248986,35.53
2369295,2010-06-05 09:55:58.125016,31.359999
2369295,2010-06-06 09:35:20.623983,26.15
2369295,2010-06-07 20:39:46.875016,75.53
2369295,2010-06-08 20:18:58.125000,28.039999
2369295,2010-06-10 09:52:28.124988,34.43
2369299,2010-06-01 09:38:50.625016,13.5199995
2369299,2010-06-01 19:23:54.374986,
2369299,2010-06-03 20:22:30.000013,67.02
2369299,2010-06-04 08:36:41.248986,40.469997
2369299,2010-06-05 09:55:58.125016,26.789999
2369299,2010-06-06 09:35:20.623983,18.84
2369299,2010-06-07 20:39:46.875016,71.619995
2369299,2010-06-08 20:18:58.125000,21.49
2369299,2010-06-10 09:52:26.250003,30.25
2369303,2010-06-01 09:38:50.625016,16.109999
2369303,2010-06-01 19:23:52.500001,0.0
2369303,2010-06-03 20:22:30.000013,71.58
2369303,2010-06-04 08:36:41.248986,44.07
2369303,2010-06-05 09:55:56.249990,26.939999
